Name,University,Year,Country
Alexander Iverson,South Dakota School of Mines and Technology,2019,United States
Xiang Wang,Duke University,2019,United States
Kangning Wang,Duke University,2019,United States
Sean Purcell,University of Waterloo,2019,Canada
Yang Liu,Stanford University,2019,United States
Zoltán Molnár Sáska,University of Cambridge,2019,United Kingdom
Andrew He,Massachusetts Institute of Technology,2019,United States
Kevin Sun,Massachusetts Institute of Technology,2019,United States
Yinzhan Xu,Massachusetts Institute of Technology,2019,United States
Alex Tatomir,University of Oxford,2019,United Kingdom
Jeck Lim,University of Cambridge,2019,United Kingdom
Daniel Chiu,Harvard University,2019,United States
Ryan Rice,The University of Texas at Austin,2019,United States
Eric Xu,Stanford University,2019,United States
Supawit Chockchowwat,The University of Texas at Austin,2019,United States
Wenli Looi,Stanford University,2019,United States
Ethan Arnold,The University of Texas at Austin,2019,United States
Pranay Tankala,Harvard University,2019,United States
Peilin Zhong,Columbia University,2018,United States
Suchir Balaji,University of California at Berkeley,2018,United States
Dimitrije Erdeljan,University of Cambridge,2018,United Kingdom
Dušan Živanović,University of Cambridge,2018,United Kingdom
Marko Stanković,University of Cambridge,2018,United Kingdom
Andrei-Costin Constantinescu,University of Oxford,2018,United Kingdom
George Chichirim,University of Oxford,2018,United Kingdom
Tamio-Vesa Nakajima,University of Oxford,2018,United Kingdom
Haomin Long,Columbia University,2018,United States
Ying Sheng,Columbia University,2018,United States
Gregory Zhang,University of British Columbia,2018,Canada
Lucca Siaudzionis,University of British Columbia,2018,Canada
Aman Karunakaran,University of Michigan at Ann Arbor,2018,United States
Lawrence Wu,University of Michigan at Ann Arbor,2018,United States
Nathan Fenner,University of Michigan at Ann Arbor,2018,United States
Arnav Sastry,The University of Texas at Austin,2018,United States
Daniel Talamas Cano,The University of Texas at Austin,2018,United States
Alexander Dai,University of California at Berkeley,2018,United States
Dongxiao Yu,University of California at Berkeley,2018,United States
Mohammad Huda,The University of New South Wales,2018,Australia
Oliver Fisher,The University of New South Wales,2018,Australia
Ray Li,The University of New South Wales,2018,Australia
Alexander Coleman,University of Central Florida,2018,United States
Eric Ly,University of Central Florida,2018,United States
Timothy Buzzelli,University of Central Florida,2018,United States
Allen Liu,Massachusetts Institute of Technology,2018,United States
Yang Liu,Massachusetts Institute of Technology,2018,United States
Raymond Kang,Carnegie Mellon University,2018,United States
Hubert Teo,Stanford University,2018,United States
Yuetong Wang,Stanford University,2018,United States
Huy Truong Nam Nguyen,Harvard University,2018,United States
Rafail Ketsetsidis,Harvard University,2018,United States
Adam Barth,Virginia Tech,2018,United States
Daniel Moyer,Virginia Tech,2018,United States
Matthew Schallenkamp,South Dakota School of Mines and Technology,2018,United States
David Liao,University of Pennsylvania,2018,United States
Zhan Xiong Chin,University of Pennsylvania,2018,United States
Sam Heil,Washington University in St. Louis,2018,United States
Zachary Glick,Washington University in St. Louis,2018,United States
Zuohan Xiahou,Washington University in St. Louis,2018,United States
Eric Williamson,Virginia Tech,2018,United States
Andrew Stelter,South Dakota School of Mines and Technology,2018,United States
Jason Zou,University of Maryland,2018,United States
Mohammad Amin Ghiasi,University of Maryland,2018,United States
Ramasai Tadepalli,University of Maryland,2018,United States
Ridge Shrubsall,The University of Western Australia,2018,Australia
Brian Hirsh,University of Pennsylvania,2018,United States
Yuxin Sun,University of Wisconsin - Madison,2018,United States
Xiyao Shi,University of Illinois at Urbana-Champaign,2018,United States
Di Chen,Cornell University,2018,United States
Siqiu Yao,Cornell University,2018,United States
Yan Ji,Cornell University,2018,United States
Qinmao Zhang,Rose-Hulman Institute of Technology,2018,United States
Xingfang Yuan,Rose-Hulman Institute of Technology,2018,United States
Sichao Yang,University of Wisconsin - Madison,2018,United States
Shunping Xie,University of Illinois at Urbana-Champaign,2018,United States
Tianwei Xu,University of Illinois at Urbana-Champaign,2018,United States
Yilun Wu,Rose-Hulman Institute of Technology,2018,United States
Allee Zarrini,Colorado School of Mines,2018,United States
Ahmed Sabie,University of Waterloo,2018,Canada
Renato Ferreira Pinto Junior,University of Waterloo,2018,Canada
Yesung Jung,University of Waterloo,2018,Canada
Changtian Sun,University of Wisconsin - Madison,2018,United States
Pengning Chao,Washington University in St. Louis,2017,United States
Dragos-Florian Ristache,Cornell University,2017,United States
Ioana-Maria Tamas,Cornell University,2017,United States
Matthew Gharrity,Cornell University,2017,United States
Andriy Katkov,Virginia Tech,2017,United States
Christopher Wu,Virginia Tech,2017,United States
Andy Shih,University of California Los Angeles,2017,United States
Jerry Li,University of California Los Angeles,2017,United States
Ruichao Chen,University of California at Berkeley,2017,United States
Konstantin Miagkov,University of California Los Angeles,2017,United States
Ingkarat Rak-amnouykit,University of Wisconsin - Madison,2017,United States
Krittisak Chaiyakul,University of Wisconsin - Madison,2017,United States
Songwong Tasneeyapant,University of Wisconsin - Madison,2017,United States
Liangjian Chen,University of California Irvine,2017,United States
Pasha Khosravi,University of California Irvine,2017,United States
Waitaya Krongapiradee,University of California Irvine,2017,United States
Daniel Anderson,Monash University,2017,Australia
Peter Whalan,Monash University,2017,Australia
Joseph Woodson,Washington University in St. Louis,2017,United States
Keyhan Vakil,University of California at Berkeley,2017,United States
Joshua Linge,University of Central Florida,2017,United States
Hadi Yami,University of Maryland,2017,United States
Antonio Molina Lovett,University of Waterloo,2017,Canada
Jacob Jackson,University of Waterloo,2017,Canada
Yi Kuan Li,University of Waterloo,2017,Canada
Jason Chiu,University of British Columbia,2017,Canada
Evan Limanto,University of California at Berkeley,2017,United States
Yuanchen Du,University of British Columbia,2017,Canada
Haoran Xu,Massachusetts Institute of Technology,2017,United States
Yuzhou Gu,Massachusetts Institute of Technology,2017,United States
Daniel Rubery,University of Rochester,2017,United States
Jackson Abascal,University of Rochester,2017,United States
Zachary Polansky,University of Rochester,2017,United States
Xin Wei Chow,Monash University,2017,Australia
Peter Steele,Virginia Tech,2017,United States
Mahsa Derakhshan,University of Maryland,2017,United States
William Fiset,Mount Allison University,2017,Canada
Morgan Redshaw,University of Alberta,2017,Canada
Noah Weninger,University of Alberta,2017,Canada
Yunpeng Tang,University of Alberta,2017,Canada
Jonathan Easterday,Cedarville University,2017,United States
Nathan Harold,Cedarville University,2017,United States
Timothy Smith,Cedarville University,2017,United States
Micah Stairs,Mount Allison University,2017,Canada
Thomas Lidbetter,Mount Allison University,2017,Canada
Ben Erickson,The University of South Dakota,2017,United States
Rodrigo Ornelas Vargas,University of Pennsylvania,2017,United States
Kurtis Van Gent,The University of South Dakota,2017,United States
Mitchell Peterson,The University of South Dakota,2017,United States
Matthew Dyke,South Dakota School of Mines and Technology,2017,United States
Ian Gottshall,Iowa State University,2017,United States
Jacob Perin,Iowa State University,2017,United States
Shuhao Tan,University of Maryland,2017,United States
Yuxiang Zhang,Iowa State University,2017,United States
Arman Tokanov,University of Pennsylvania,2017,United States
Sauyon Lee,University of Oxford,2017,United Kingdom
Tianci Wang,University of Michigan at Ann Arbor,2017,United States
Ruohong Zhang,Northwestern University,2017,United States
Yiding Feng,Northwestern University,2017,United States
Tong Li,University of Illinois at Urbana-Champaign,2017,United States
Yewen Fan,University of Illinois at Urbana-Champaign,2017,United States
Yuting Zhang,University of Illinois at Urbana-Champaign,2017,United States
Hristo Venev,University of Oxford,2017,United Kingdom
Mihail Jianu,University of Oxford,2017,United Kingdom
Abhratanu Dutta,Northwestern University,2017,United States
Eric Schneider,Princeton University,2017,United States
Kalina Petrova,Princeton University,2017,United States
Victor Xu,Princeton University,2017,United States
Alex Meed,The University of Texas at Austin,2017,United States
Brian Richer,The University of Texas at Austin,2017,United States
Curtis Fenner,University of Michigan at Ann Arbor,2017,United States
Andrei Dumitru,Illinois Institute of Technology,2016,United States
Todor Markov,Illinois Institute of Technology,2016,United States
Benjamin Grimmer,Illinois Institute of Technology,2016,United States
Visit Pataranutaporn,Rice University,2016,United States
Dustin Pho,Virginia Tech,2016,United States
Yuehui Wang,University of Southern California,2016,United States
Ho Ching Justin Cheng,University of Southern California,2016,United States
Daaron Chiu,The University of New South Wales,2016,Australia
Zekun Li,University of Southern California,2016,United States
Naomi Rubin,Carnegie Mellon University,2016,United States
Joshua Lau,The University of New South Wales,2016,Australia
BatOrgil Batsaikhan,University of Minnesota - Twin Cities,2016,United States
Hidenori Shinohara,University of Minnesota - Twin Cities,2016,United States
Lucas Knutson,University of Minnesota - Twin Cities,2016,United States
Jose Carlos Vera-Garza,Rice University,2016,United States
Philip Taffet,Rice University,2016,United States
Stephen Royal,University of Central Florida,2016,United States
Yi Feng Huang,University of Waterloo,2016,Canada
Calvin Deng,Harvard University,2016,United States
Johnny Ho,Harvard University,2016,United States
Scott Wu,Harvard University,2016,United States
Brian Chen,Massachusetts Institute of Technology,2016,United States
Steven Hao,Massachusetts Institute of Technology,2016,United States
Evan Dorundo,University of Central Florida,2016,United States
Joshua Alman,Stanford University,2016,United States
Michael Kirsche,University of Central Florida,2016,United States
Pasin Manurangsi,University of California at Berkeley,2016,United States
Weiqiao Han,University of California at Berkeley,2016,United States
Jake Silverman,Cornell University,2016,United States
Sakethnath Are,Cornell University,2016,United States
Victor Reis,Cornell University,2016,United States
Xinyu Wu,Carnegie Mellon University,2016,United States
Mihai Andreescu,University of Chicago,2016,United States
Nikolas Anderson,University of Chicago,2016,United States
Daniel Andrus,South Dakota School of Mines and Technology,2016,United States
Siwakorn Srisakaokul,University of Illinois at Urbana-Champaign,2016,United States
Xin Gao,University of Illinois at Urbana-Champaign,2016,United States
Liam Machado,University of Utah,2016,United States
William Li,University of Utah,2016,United States
Alec Grieser,University of Virginia,2016,United States
Derek Morris,University of Virginia,2016,United States
Dayton Ellwanger,University of North Carolina at Chapel Hill,2016,United States
Rachel Krohn,South Dakota School of Mines and Technology,2016,United States
Andrew Gozzard,The University of Western Australia,2016,Australia
Emma Krantz,The University of Western Australia,2016,Australia
Max Ward-Graham,The University of Western Australia,2016,Australia
Scott Shi,University of Chicago,2016,United States
Forrest Li,University of North Carolina at Chapel Hill,2016,United States
Andrew Norton,University of Virginia,2016,United States
David Spencer,University of North Carolina at Chapel Hill,2016,United States
Taokun Zheng,California Institute of Technology,2016,United States
Posdarascu Eugenie Daniel,Imperial College London,2016,United Kingdom
Yordan Chaparov,Imperial College London,2016,United Kingdom
Brian Chau,University of British Columbia,2016,Canada
Hung li Chen,University of British Columbia,2016,Canada
Mihai Popa,Imperial College London,2016,United Kingdom
Jacob Smith,Iowa State University,2016,United States
Jian Wang,Ohio State University,2016,United States
Nathan De Graaf,Iowa State University,2016,United States
Albert Gural,California Institute of Technology,2016,United States
Te Zhang,Ohio State University,2016,United States
Ching Yun Hsu,California Institute of Technology,2016,United States
Dingkang Wang,Ohio State University,2016,United States
Kevin Tran,The University of New South Wales,2015,Australia
John Boswell,University of Central Florida,2015,United States
Tyler Brazill,University of Central Florida,2015,United States
Chun Wu,University of Michigan at Ann Arbor,2015,United States
Yujie An,University of Michigan at Ann Arbor,2015,United States
Zhongtian Jiang,Georgia Institute of Technology,2015,United States
Zhou Sun,University of Michigan at Ann Arbor,2015,United States
Menghui Wang,University of Wisconsin - Madison,2015,United States
Yujin Wu,The University of New South Wales,2015,Australia
Andrew Morgan,University of Wisconsin - Madison,2015,United States
Bryce Sandlund,University of Wisconsin - Madison,2015,United States
Chuanqi Shen,Stanford University,2015,United States
Kaidi Yan,Stanford University,2015,United States
Lingxiao Li,Stanford University,2015,United States
Ed Kim,Northwestern University,2015,United States
Siyuan Cai,Northwestern University,2015,United States
Hanjun Dai,Georgia Institute of Technology,2015,United States
Yijie Wang,Georgia Institute of Technology,2015,United States
Sina Dehghani,University of Maryland,2015,United States
William Cooperman,Carnegie Mellon University,2015,United States
Yi Wu,University of California at Berkeley,2015,United States
Ali-Amir Aldan,Massachusetts Institute of Technology,2015,United States
Szu-Po Wang,Massachusetts Institute of Technology,2015,United States
Deon Nicholas,University of Waterloo,2015,Canada
Geoffry Song,University of Waterloo,2015,Canada
Volodymyr Lyubinets,University of Waterloo,2015,Canada
David Liu,Harvard University,2015,United States
Gaoyuan Chen,University of Southern California,2015,United States
Ruixin Qiang,University of Southern California,2015,United States
Xinpei Yu,University of Southern California,2015,United States
Chaoshuai Lu,University of California Los Angeles,2015,United States
Hao Chen,University of California Los Angeles,2015,United States
Xin Gao,University of California Los Angeles,2015,United States
Jason Li,Carnegie Mellon University,2015,United States
Zeyu Wang,Northwestern University,2015,United States
Luhang Lai,University of California at Berkeley,2015,United States
Soheil Ehsani Banafati,University of Maryland,2015,United States
Wen Li Looi,University of Calgary,2015,Canada
Trevor Boone,Iowa State University,2015,United States
Tyler Uhlenkamp,Iowa State University,2015,United States
Mijia Jiang,University of Minnesota - Twin Cities,2015,United States
Aryaz Eghbali,University of Calgary,2015,Canada
Karl Augsten,University of Calgary,2015,Canada
Xi Yi,University of Maryland,2015,United States
Nick Merritt,Rice University,2015,United States
Marcus Upton,Messiah College,2015,United States
Nathan Chaney,Messiah College,2015,United States
Zachary Felix,Messiah College,2015,United States
Kenneth Schiller,Carleton College,2015,United States
Marielle Foster,Carleton College,2015,United States
Matt Cotter,Carleton College,2015,United States
Rafael Marinheiro,Cornell University,2015,United States
Eduardo Ferreira,Cornell University,2015,United States
Jeremy Archer,University of Chicago,2015,United States
Jon Schneider,Princeton University,2015,United States
Siddhartha Jayanti,Princeton University,2015,United States
Andrew Haigh,The Australian National University,2015,Australia
Benedict Morrissey,The Australian National University,2015,Australia
Dmitry Brizhinev,The Australian National University,2015,Australia
Joon Young Seo,University of Illinois at Urbana-Champaign,2015,United States
Ruihan Shan,University of Illinois at Urbana-Champaign,2015,United States
Timothy Smith,University of Illinois at Urbana-Champaign,2015,United States
Benjamin Pruett,Virginia Tech,2015,United States
Miraziz Yusupov,Virginia Tech,2015,United States
Nicholas Sharp,Virginia Tech,2015,United States
Ben Ritter,The University of Western Australia,2015,Australia
Eliot Courtney,The University of Western Australia,2015,Australia
Michael Martis,The University of Western Australia,2015,Australia
Charles Koenig,University of Chicago,2015,United States
Harrison Weigel,University of Chicago,2015,United States
Biye Jiang,University of California at Berkeley,2015,United States
